size,avg,std
478,8.322,1.727223002
479,8.243,1.790294991
480,8.341,1.886339651
481,8.256,1.804361305
482,8.286,1.820856809
483,8.332,1.972731018
484,8.329,1.948475187
485,8.41,1.929669304
486,8.395,1.844010677
487,8.392,1.914157778
488,8.409,1.923907591
489,8.371,1.921210569
490,8.316,1.936464276
491,8.407,1.892335047
492,8.414,2.019574877
493,8.464,1.961262489
494,8.444,1.760102827
495,8.296,1.846020529
496,8.344,1.857178805
497,8.46,1.873475356
498,8.382,1.871785132
499,8.367,1.89205996
500,8.329,1.847748136
501,8.376,1.876738167
502,8.444,1.829264937
503,8.423,1.940576419
504,8.544,1.895166393
505,8.505,2.006988541
506,8.448,1.852222105
507,8.412,1.935976241
508,8.442,1.877274663
509,8.406,1.877948532
510,8.552,2.021727821
511,8.658,2.042843413
512,8.528,1.914910672
513,8.437,2.056759894
514,8.653,2.127232032
515,8.67,2.080728101
516,8.605,2.106991793
517,8.661,2.202482674
518,8.539,2.011597754
519,8.482,2.100497105
520,8.566,2.082782269
521,8.673,2.122398543
522,8.61,2.06013207
523,8.564,2.143011082
524,8.565,2.151372446
525,8.516,2.10574884
526,8.569,2.017252663
527,8.595,2.069603406
528,8.656,2.088067054
529,8.462,2.131454691
530,8.566,2.134056747
531,8.701,2.112359122
532,8.748,2.094966559
533,8.709,2.157074865
534,8.542,2.159374655
535,8.601,2.062535588
536,8.719,2.007004501
537,8.745,2.067909875
538,8.652,2.074415387
539,8.722,2.096452029
540,8.742,2.147567938
541,8.717,2.139506599
542,8.611,2.000920459
543,8.626,1.995521512
544,8.574,2.151546689
545,8.693,2.08064415
546,8.701,1.974714789
547,8.742,2.023741963
548,8.706,2.09139617
549,8.778,2.160412781
550,8.741,2.052835389
551,8.698,2.093604351
552,8.664,2.072534535
553,8.742,2.004358614
554,8.753,2.1077081
555,8.818,2.174765644
556,8.72,2.113780516
557,8.741,2.250996665
558,8.74,2.08248331
559,8.773,2.120841571
560,8.842,2.057491013
561,8.686,2.142894304
562,8.829,2.076552689
563,8.938,2.14587063
564,8.853,2.257096694
565,8.891,2.184924002
566,8.816,2.056787392
567,8.856,2.218148819
568,8.814,2.126482054
569,8.775,1.994079073
570,8.911,2.122164598
571,8.827,2.216299389
572,8.924,2.155195784
573,8.817,2.137306501
574,8.652,1.999223072
575,8.732,1.953456422
576,8.645,1.884283823
577,8.655,1.948273793
578,8.639,1.912154632
579,8.715,2.009929057
580,8.687,2.241440397
581,8.682,2.066190975
582,8.749,1.947766103
583,8.799,2.044695523
584,8.831,1.954548352
585,8.749,2.05918412
586,8.807,1.961019275
587,8.833,2.124529271
588,8.796,2.039741294
589,8.754,2.083704832
590,8.787,1.969139027
591,8.855,2.004992517
592,8.869,1.926018834
593,8.927,1.973718968
594,8.761,1.89406084
595,8.833,2.056536005
596,8.918,2.02567998
597,8.889,2.114509435
598,8.86,2.025957676
599,8.861,1.989380968
600,8.844,2.092855476
601,8.823,2.052774923
602,9.005,2.034973247
603,8.693,2.035410006
604,8.828,2.053931507
605,8.839,1.989230011
606,8.855,1.928651004
607,8.71,1.96971566
608,8.81,2.097689276
609,8.796,2.149652299
610,8.822,2.022475317
611,8.8,2.024870391
612,8.932,1.962454389
613,8.797,2.043518282
614,8.724,1.971728103
615,8.813,2.031294454
616,8.84,1.937563974
617,8.778,2.091671841
618,8.796,2.020015956
619,8.797,2.124218281
620,8.995,2.088860536
621,8.913,2.147566773
622,8.87,1.96340392
623,9.002,2.028820375
624,8.886,2.12073136
625,8.933,1.997623964
626,8.982,1.863101486
627,9.005,2.047722679
628,8.947,2.080509437
629,8.92,2.100002383
630,8.991,2.061351054
631,8.891,2.05361543
632,8.803,2.061174287
633,8.932,2.026692745
634,8.928,1.978061862
635,8.964,2.095493998
636,9.013,2.099819097
637,9.04,2.058309169
638,8.67,1.842415397
639,8.62,1.821240488
640,8.572,1.866628056
641,8.598,1.755983906
642,8.693,1.797214784
643,8.55,1.837083252
644,8.791,1.882780886
645,8.688,1.973461566
646,8.625,1.902628444
647,8.592,1.907137429
648,8.557,1.780427174
649,8.562,1.88672089
650,8.648,1.869114654
651,8.656,1.980299368
652,8.655,1.878164663
653,8.708,1.843945806
654,8.667,1.776306918
655,8.671,1.867684997
656,8.641,1.869120813
657,8.685,1.811921096
658,8.74,1.8498167
659,8.666,1.977461594
660,8.863,1.949366828
661,8.763,1.917944084
662,8.713,1.86711465
663,8.806,1.824196177
664,8.723,1.890461543
665,8.832,1.89085995
666,8.666,2.063177331
667,8.746,2.030666789
668,8.813,1.961090737
669,8.769,1.955367603
670,8.687,1.821084113
671,8.67,1.830423571
672,8.727,1.803253372
673,8.715,1.819638999
674,8.811,1.956810698
675,8.772,1.825197893
676,8.675,2.018278585
677,8.763,1.961294898
678,8.724,1.691355872
679,8.894,1.964847227
680,8.817,1.895020343
681,8.771,1.894768891
682,8.8,1.906734286
683,8.748,1.937588772
684,8.792,1.905352032
685,8.915,1.824583269
686,8.787,1.913973431
687,8.825,1.847644119
688,8.751,1.895941348
689,8.849,1.876091341
690,8.816,1.852991521
691,8.823,1.946139373
692,8.817,2.021781046
693,8.815,1.981085485
694,8.881,1.901698045
695,8.896,1.873684791
696,8.778,1.822096604
697,8.885,1.950276539
698,8.765,1.904048424
699,8.905,1.969734717
700,8.884,2.06320159
701,8.811,1.875312186
702,8.727,1.673700174
703,8.72,1.786838771
704,8.653,1.733665653
705,8.751,1.845644984
706,8.804,1.817384628
707,8.702,1.855434892
708,8.824,1.734944966
709,8.718,1.863853522
710,8.767,1.762900683
711,8.803,1.690872571
712,8.793,1.814784958
713,8.884,1.842264351
714,8.816,1.871268459
715,8.816,1.897826585
716,8.913,1.804629515
717,8.857,1.837914288
718,8.854,1.767429718
719,8.873,1.650331662
720,8.945,1.835577387
721,8.852,1.910954669
722,8.77,1.874730545
723,8.786,1.88567223
724,8.854,1.834134141
725,8.828,1.96271961
726,8.824,1.847278116
727,8.814,1.909725386
728,8.884,1.799383723
729,8.873,1.878936242
730,8.958,1.857871817
731,9.024,1.871610784
732,8.949,1.783137285
733,8.786,1.88035628
734,8.805,1.756148928
735,8.745,1.802005056
736,8.819,1.742203856
737,8.957,1.780539615
738,8.832,1.852351804
739,8.903,1.778976041
740,8.818,1.817189637
741,9.015,1.785486758
742,8.751,1.836401746
743,8.901,1.844614215
744,8.86,1.778640932
745,8.911,1.844038904
746,9.006,1.791975216
747,8.979,1.872983467
748,8.887,1.940617684
749,9.014,1.934307511
750,8.832,1.841512196
751,8.868,1.805501547
752,8.9,1.927619183
753,8.872,1.789642092
754,8.877,1.80696877
755,8.953,1.891657836
756,9.022,1.887612004
757,8.929,1.752435457
758,8.996,1.833397214
759,8.916,1.919017099
760,8.991,1.849415945
761,9.013,1.917944084
762,9.003,1.875235321
763,9.025,1.945806044
764,9.018,1.794685738
765,9.022,1.955847985
766,8.99,2.02088693
767,9.131,2.080905853
768,9.006,1.897251582
769,9.033,1.992455992
770,9.007,2.067662019
771,9.07,2.097021101
772,9.126,1.960093356
773,9.075,2.075013417
774,9.003,1.951614665
775,9.062,2.014500984
776,9.125,2.049774762
777,9.069,1.883025434
778,9.073,1.982322022
779,8.974,2.109923168
780,9.187,2.054325011
781,9.114,2.094610081
782,9.069,2.037741738
783,9.123,2.030269192
784,9.125,2.054165182
785,9.076,2.103484882
786,9.128,2.074106535
787,9.033,2.086207867
788,9.096,1.913751929
789,9.09,2.049414575
790,9.043,1.984209689
791,9.1,2.103431583
792,9.166,2.102585281
793,9.17,2.178955678
794,9.215,2.152070261
795,9.18,2.050317976
796,9.155,2.118835639
797,9.203,2.053291749
798,9.053,2.027881482
799,9.181,1.969801797
800,9.122,2.034515976
801,9.156,1.993398515
802,9.205,1.980125222
803,9.143,2.070951433
804,9.292,2.137593344
805,9.219,2.134852828
806,9.131,2.023346963
807,9.245,2.014207544
808,9.188,2.017604205
809,9.249,2.102241285
810,9.136,2.139645317
811,9.26,2.034339829
812,9.114,2.126858605
813,9.326,2.018861015
814,9.215,1.972477038
815,9.141,1.960347408
816,9.238,2.05513493
817,9.265,2.094077401
818,9.254,2.033130005
819,9.248,2.13987735
820,9.248,2.194837879
821,9.254,2.141511165
822,9.217,2.073212292
823,9.224,2.079458619
824,9.368,2.104044439
825,9.11,2.079476911
826,9.4,2.093414049
827,9.294,2.125578058
828,9.421,2.158336725
829,9.259,2.188768994
830,9.171,1.933260587
831,9.08,1.979271967
832,9.223,1.917536948
833,9.241,2.017669445
834,9.203,2.017389616
835,9.198,2.031482937
836,9.267,1.965597765
837,9.117,2.020245627
838,9.272,1.964147111
839,9.055,1.989958526
840,9.208,1.959738905
841,9.256,2.00810769
842,9.133,2.055123971
843,9.174,2.032204186
844,9.215,2.06083042
845,9.241,2.096022975
846,9.356,1.975136746
847,9.241,1.988686469
848,9.061,1.983737436
849,9.136,1.914985945
850,9.287,2.012630538
851,9.302,2.036895909
852,9.357,2.064415853
853,9.283,1.96437516
854,9.187,2.119557389
855,9.182,2.049652916
856,9.324,2.144206525
857,9.248,2.101168939
858,9.36,2.116809127
859,9.3,2.109134526
860,9.409,2.212829776
861,9.331,2.065358251
862,9.413,1.988563649
863,9.153,1.977245685
864,9.282,2.018551597
865,9.34,1.974917796
866,9.378,2.047268255
867,9.384,1.938634133
868,9.294,2.041502322
869,9.307,2.06422189
870,9.208,2.023074104
871,9.113,2.135132265
872,9.194,2.049527888
873,9.093,2.036786562
874,9.352,2.083851827
875,9.456,2.173197365
876,9.414,2.18113763
877,9.414,2.075309835
878,9.461,2.155719399
879,9.328,2.055393062
880,9.318,2.000219207
881,9.304,2.043467582
882,9.28,1.993884544
883,9.375,2.118221391
884,9.357,2.019809553
885,9.362,2.081174497
886,9.342,2.005257354
887,9.352,1.998021043
888,9.437,2.000508194
889,9.434,2.073147834
890,9.362,2.144657445
891,9.312,2.146919948
892,9.377,2.15720294
893,9.388,2.079851385
894,9.135,1.861784424
895,9.208,1.968403061
896,9.13,1.764146313
897,9.271,1.894504724
898,9.183,1.938883769
899,9.181,1.785336502
900,9.178,1.916243196
901,9.21,1.87494411
902,9.256,1.870283925
903,9.288,1.877919749
904,9.09,2.079476911
905,9.25,1.849573173
906,9.121,1.891543533
907,9.247,1.904105201
908,9.283,2.030525556
909,9.294,1.8939776
910,9.236,1.834576155
911,9.234,1.97259604
912,9.186,1.90026709
913,9.26,1.851979976
914,9.137,1.855714061
915,9.226,1.985665346
916,9.163,1.982513899
917,9.198,2.024572768
918,9.235,1.984367081
919,9.306,2.080069876
920,9.164,2.020194343
921,9.201,1.980030181
922,9.22,1.907154225
923,9.274,1.984656863
924,9.272,1.966693643
925,9.252,1.91629021
926,9.283,1.757839868
927,9.282,1.971385899
928,9.195,1.797834032
929,9.232,1.874483846
930,9.295,1.92032879
931,9.187,2.036707927
932,9.212,1.91748083
933,9.315,1.895090068
934,9.234,1.818392298
935,9.254,2.005868268
936,9.339,2.006016726
937,9.434,2.062012584
938,9.415,1.958215925
939,9.303,2.017736916
940,9.284,1.909185426
941,9.208,2.023074104
942,9.359,1.905715286
943,9.366,1.965682555
944,9.316,1.958565797
945,9.294,2.022289211
946,9.293,1.809537351
947,9.326,2.017869123
948,9.502,1.962612506
949,9.407,2.104228785
950,9.278,2.04178473
951,9.309,1.900824067
952,9.407,1.983755601
953,9.337,1.947620144
954,9.331,1.955828281
955,9.391,1.970787407
956,9.451,2.105238949
957,9.306,2.021992199
958,9.282,1.924104513
959,9.209,1.83266955
960,9.247,1.761560131
961,9.197,1.951922386
962,9.252,1.811015123
963,9.364,1.97113911
964,9.385,1.883167895
965,9.371,1.88013135
966,9.309,1.912897848
967,9.349,1.81010372
968,9.271,1.878053803
969,9.261,1.922648063
970,9.404,1.878913067
971,9.33,1.833701847
972,9.408,1.825066264
973,9.28,1.880195504
974,9.345,1.808658687
975,9.344,1.93064533
976,9.255,1.914063384
977,9.318,2.009705181
978,9.37,2.009262834
979,9.37,1.942388445
980,9.382,1.957014539
981,9.394,1.9612778
982,9.211,1.964265088
983,9.369,1.933022394
984,9.223,1.908117374
985,9.35,1.82066329
986,9.399,1.949255909
987,9.372,2.047390487
988,9.332,1.961536037
989,9.463,2.053983897
990,9.39,1.938467863
991,9.345,1.868010831
992,9.264,1.870776257
993,9.357,1.97723556
994,9.428,1.882115395
995,9.443,1.90955424
996,9.437,1.876580015
997,9.268,1.978911845
998,9.428,1.899058299
999,9.501,1.826289773
1000,9.519,1.88552226
1001,9.388,1.832706964
1002,9.441,1.906870513
1003,9.442,1.911619808
1004,9.471,1.893870573
1005,9.554,1.963909606
1006,9.381,1.992437906
1007,9.349,1.919605137
1008,9.493,1.922406473
1009,9.416,1.958259119
1010,9.508,1.998982724
1011,9.453,1.966127325
1012,9.482,1.894535633
1013,9.501,1.908308319
1014,9.387,1.892303309
1015,9.475,1.999843587
1016,9.468,2.023133478
1017,9.452,1.948715858
1018,9.456,1.95905638
1019,9.516,1.944614493
1020,9.485,2.011422586
1021,9.521,2.134505825
1022,9.56,2.05441491
1023,9.514,1.947201991
1024,9.42,2.044940533
1025,9.582,1.992798848
1026,9.527,2.05170185
1027,9.52,2.131230195
1028,9.634,2.102490063
1029,9.473,2.072574864
1030,9.507,2.197903952
1031,9.535,2.083054035
1032,9.535,2.044738603
1033,9.669,2.045879915
1034,9.606,2.009677288
1035,9.469,2.109855562
1036,9.48,2.096185582
1037,9.603,2.204597753
1038,9.451,2.078441464
1039,9.508,1.961576862
1040,9.684,2.016484617
1041,9.553,2.109891619
1042,9.74,2.142659794
1043,9.537,2.076280796
1044,9.687,2.080230362
1045,9.623,2.135751023
1046,9.566,2.23128273
1047,9.709,2.102079384
1048,9.638,2.145590725
1049,9.639,2.228372645
1050,9.601,2.168986746
1051,9.601,2.163441582
1052,9.522,2.188676839
1053,9.511,2.175916729
1054,9.598,2.037289019
1055,9.587,2.060746874
1056,9.649,2.052318448
1057,9.715,2.146714556
1058,9.649,2.044010024
1059,9.719,2.172730945
1060,9.523,2.090416428
1061,9.638,2.132956986
1062,9.67,2.074947085
1063,9.735,2.172439756
1064,9.635,2.046940391
1065,9.694,2.027924179
1066,9.566,2.123240955
1067,9.577,2.070835425
1068,9.6,2.145834244
1069,9.84,2.219307398
1070,9.684,2.125243671
1071,9.722,2.045213656
1072,9.568,2.148020016
1073,9.802,2.130571598
1074,9.695,2.095797549
1075,9.718,2.115881129
1076,9.677,2.240913361
1077,9.775,2.238165406
1078,9.522,2.269949045
1079,9.765,2.188278676
1080,9.786,2.203874103
1081,9.664,2.180793401
1082,9.762,2.2782771
1083,9.648,2.202032004
1084,9.69,2.10293184
1085,9.568,2.243303013
1086,9.661,2.019940385
1087,9.669,2.046369133
1088,9.693,2.004686951
1089,9.748,2.177438228
1090,9.752,2.066098924
1091,9.592,2.067319475
1092,9.602,2.039057075
1093,9.707,2.123596162
1094,9.67,2.204531687
1095,9.67,2.046286218
1096,9.724,2.065451546
1097,9.619,1.988917996
1098,9.613,2.129263902
1099,9.742,2.097578565
1100,9.707,2.213153643
1101,9.739,2.083079024
1102,9.709,2.055856402
1103,9.723,2.091086714
1104,9.758,2.173052728
1105,9.802,1.990165007
1106,9.724,2.110990355
1107,9.651,2.259713545
1108,9.939,2.214539045
1109,9.7,2.203373517
1110,9.741,2.163931977
1111,9.623,2.106967088
1112,9.84,2.183384338
1113,9.761,2.011946055
1114,9.773,2.064396457
1115,9.78,2.176772459
1116,9.915,2.173130805
1117,9.893,2.181354925
1118,9.832,2.127040268
1119,9.694,2.135632207
1120,9.714,1.994538087
1121,9.775,2.121054896
1122,9.814,2.139621925
1123,9.886,2.158625411
1124,9.826,2.196029724
1125,9.918,2.21544221
1126,9.759,2.029541337
1127,9.919,2.151061614
1128,9.835,2.062529764
1129,9.817,2.204624996
1130,9.899,2.08498109
1131,9.773,2.116116478
1132,9.626,2.183321069
1133,9.845,2.215374208
1134,9.84,2.081040781
1135,9.858,2.147661158
1136,9.697,2.164688633
1137,9.773,2.201435286
1138,9.783,2.111010982
1139,9.931,2.023445906
1140,9.84,2.199827093
1141,9.815,2.231087796
1142,9.818,2.131529831
1143,9.878,2.101316619
1144,9.781,2.243227824
1145,9.802,2.183933508
1146,9.784,2.204132982
1147,9.752,2.152470471
1148,9.833,2.122172145
1149,9.908,2.23394864
1150,9.727,1.939131566
1151,9.613,1.960886554
1152,9.647,2.016545922
